GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,21800007,13,203501,Tim Hardaway Jr.,1610612752,New York Knicks,1,11,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,163,227,1,0,20181017,NYK,ATL
Shot Chart Detail,21800007,17,203501,Tim Hardaway Jr.,1610612752,New York Knicks,1,11,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,10,1,0,20181017,NYK,ATL
Shot Chart Detail,21800007,21,202683,Enes Kanter,1610612752,New York Knicks,1,10,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-45,191,1,0,20181017,NYK,ATL
Shot Chart Detail,21800007,25,203504,Trey Burke,1610612752,New York Knicks,1,10,24,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,59,178,1,0,20181017,NYK,ATL
Shot Chart Detail,21800007,29,203504,Trey Burke,1610612752,New York Knicks,1,10,14,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,49,128,1,0,20181017,NYK,ATL
Shot Chart Detail,21800007,41,203501,Tim Hardaway Jr.,1610612752,New York Knicks,1,9,39,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-197,146,1,0,20181017,NYK,ATL
Shot Chart Detail,21800007,54,203504,Trey Burke,1610612752,New York Knicks,1,8,40,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,-6,1,0,20181017,NYK,ATL
Shot Chart Detail,21800007,56,202683,Enes Kanter,1610612752,New York Knicks,1,8,38,Missed Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20181017,NYK,ATL
Shot Chart Detail,21800007,63,203501,Tim Hardaway Jr.,1610612752,New York Knicks,1,8,17,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,21,149,1,0,20181017,NYK,ATL
Shot Chart Detail,21800007,67,1628373,Frank Ntilikina,1610612752,New York Knicks,1,7,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-130,223,1,1,20181017,NYK,ATL
